Transaction_ID,Date,Customer_Name,Product,Total_Items,Total_Cost,Payment_Method,City,Store_Type,Discount_Applied,Customer_Category,Season,Promotion
1000000000,1/21/2022 6:27,Stacey Price,"['Ketchup', 'Shaving Cream', 'Light Bulbs']",3,71.65,Mobile Payment,Los Angeles,Warehouse Club,TRUE,Homemaker,Winter,None
1000000001,3/1/2023 13:01,Michelle Carlson,"['Ice Cream', 'Milk', 'Olive Oil', 'Bread', 'Potatoes']",2,25.93,Cash,San Francisco,Specialty Store,TRUE,Professional,Fall,BOGO (Buy One Get One)
1000000002,3/21/2024 15:37,Lisa Graves,['Spinach'],6,41.49,Credit Card,Houston,Department Store,TRUE,Professional,Winter,None
1000000003,10/31/2020 9:59,Mrs. Patricia May,"['Tissues', 'Mustard']",1,39.34,Mobile Payment,Chicago,Pharmacy,TRUE,Homemaker,Spring,None
1000000004,12/10/2020 0:59,Susan Mitchell,['Dish Soap'],10,16.42,Debit Card,Houston,Specialty Store,FALSE,Young Adult,Winter,Discount on Selected Items
1000000005,10/7/2021 12:37,Joshua Frazier,"['Toothpaste', 'Chicken']",3,72.24,Cash,Houston,Supermarket,TRUE,Retiree,Spring,Discount on Selected Items
1000000006,1/8/2023 10:40,Victoria Garrett,"['Honey', 'BBQ Sauce', 'Soda', 'Olive Oil', 'Garden Hose']",4,5.28,Cash,Boston,Specialty Store,FALSE,Student,Summer,Discount on Selected Items
1000000007,9/3/2020 12:39,Sydney Waller,"['Syrup', 'Trash Cans', 'Pancake Mix', 'Water', 'Mayonnaise']",5,21.77,Debit Card,Chicago,Specialty Store,FALSE,Young Adult,Winter,Discount on Selected Items
1000000008,4/5/2021 6:32,Kimberly Morgan,['Insect Repellent'],4,55.25,Mobile Payment,Los Angeles,Warehouse Club,FALSE,Homemaker,Fall,None
1000000009,7/8/2021 10:08,Lori Conway,"['Soap', 'Baby Wipes', 'Soda']",7,31.21,Mobile Payment,Boston,Convenience Store,TRUE,Young Adult,Winter,None
1000000010,3/18/2020 18:58,Randall Roberts,"['Extension Cords', 'Soda', 'Water', 'Garden Hose', 'Cleaning Spray']",8,91.59,Debit Card,Boston,Department Store,TRUE,Middle-Aged,Fall,BOGO (Buy One Get One)
1000000011,3/30/2023 19:26,Jeremiah White,"['Tea', 'Paper Towels', 'Spinach']",7,31.88,Mobile Payment,New York,Specialty Store,FALSE,Young Adult,Fall,Discount on Selected Items
1000000012,5/27/2023 15:52,Sheila Mcgee,"['Salmon', 'Shaving Cream']",9,39.75,Debit Card,New York,Pharmacy,FALSE,Student,Summer,Discount on Selected Items
1000000013,4/2/2023 9:24,Allen Miles,"['Trash Bags', 'Apple', 'Mop', 'Hair Gel']",7,17.51,Mobile Payment,Seattle,Warehouse Club,FALSE,Retiree,Winter,BOGO (Buy One Get One)
1000000014,4/9/2020 4:31,Mark Howard,"['Razors', 'Laundry Detergent', 'Beef']",1,33.64,Credit Card,San Francisco,Warehouse Club,TRUE,Retiree,Spring,None
1000000015,1/1/2021 4:29,Jesse Henderson,"['Cereal', 'Vinegar', 'Bath Towels']",7,29.57,Mobile Payment,San Francisco,Convenience Store,FALSE,Retiree,Winter,BOGO (Buy One Get One)
1000000016,10/15/2021 13:24,Eric Wall,"['Air Freshener', 'Feminine Hygiene Products']",5,99.7,Mobile Payment,Miami,Specialty Store,TRUE,Homemaker,Spring,None
1000000017,9/16/2021 9:28,Vanessa Peck,"['Power Strips', 'Honey', 'Ketchup', 'Tea', 'Shampoo']",8,15.62,Credit Card,San Francisco,Department Store,FALSE,Senior Citizen,Fall,None
1000000018,7/18/2022 11:33,Dominique Stout,"['Mustard', 'Dustpan']",3,98.28,Mobile Payment,New York,Warehouse Club,FALSE,Professional,Fall,BOGO (Buy One Get One)
1000000019,1/31/2021 7:52,Charles Brooks,['Coffee'],7,96.77,Debit Card,Chicago,Department Store,TRUE,Homemaker,Winter,Discount on Selected Items
1000000020,10/31/2021 7:46,Angela Jones,"['Pancake Mix', 'Vacuum Cleaner']",7,83.86,Cash,Houston,Pharmacy,FALSE,Teenager,Winter,Discount on Selected Items
1000000021,12/30/2022 20:03,John Roberts,"['Coffee', 'Shaving Cream']",1,39.93,Credit Card,Miami,Department Store,FALSE,Retiree,Summer,BOGO (Buy One Get One)
1000000022,6/8/2021 10:28,Nicole White,"['Shrimp', 'Iron', 'Cleaning Spray', 'Toilet Paper', 'Peanut Butter']",4,35.62,Mobile Payment,New York,Warehouse Club,TRUE,Retiree,Spring,BOGO (Buy One Get One)
1000000023,1/3/2020 23:24,Don Harris,"['Dishware', 'Pickles']",7,19.56,Cash,San Francisco,Department Store,FALSE,Retiree,Spring,BOGO (Buy One Get One)
1000000024,2/27/2023 16:46,Hannah Rowland,"['Sponges', 'Vacuum Cleaner', 'Iron']",4,24.03,Debit Card,Dallas,Pharmacy,FALSE,Student,Winter,None
1000000025,2/14/2020 13:19,Jessica Gonzalez,"['Broom', 'Cereal']",10,7.82,Credit Card,New York,Convenience Store,FALSE,Professional,Fall,BOGO (Buy One Get One)
1000000026,9/21/2020 10:34,Christina Smith,"['Garden Hose', 'Trash Cans']",6,49.45,Debit Card,Dallas,Warehouse Club,FALSE,Senior Citizen,Winter,Discount on Selected Items
1000000027,3/26/2020 22:08,Latoya Allen,"['Ketchup', 'Trash Cans', 'Toothbrush']",10,29.36,Mobile Payment,Boston,Specialty Store,FALSE,Professional,Spring,None
1000000028,8/13/2022 1:26,Clayton Roth,"['Tomatoes', 'Salmon']",7,21.08,Credit Card,San Francisco,Specialty Store,TRUE,Teenager,Fall,None
1000000029,2/27/2020 10:23,Dennis Alvarez,"['Tea', 'Salmon', 'Bath Towels', 'Toothpaste']",7,75.38,Mobile Payment,Houston,Convenience Store,TRUE,Teenager,Summer,Discount on Selected Items
1000000030,1/8/2023 22:59,Jose Hill,['Olive Oil'],1,73.17,Debit Card,Boston,Specialty Store,TRUE,Senior Citizen,Spring,None
1000000031,5/4/2024 13:22,Kristin Webb,"['Extension Cords', 'Razors', 'Chips', 'Shampoo']",4,13.34,Debit Card,Houston,Department Store,FALSE,Teenager,Summer,None
1000000032,4/4/2023 10:57,Robert Gilbert DDS,"['Apple', 'Butter']",7,41.4,Debit Card,Chicago,Supermarket,FALSE,Middle-Aged,Spring,None
1000000033,3/26/2022 19:18,Thomas Oliver,"['Broom', 'Chicken', 'Spinach', 'Broom']",8,26.67,Credit Card,Chicago,Specialty Store,TRUE,Homemaker,Spring,Discount on Selected Items
1000000034,2/7/2023 14:09,Stacy Owen,"['Yogurt', 'Ice Cream', 'Insect Repellent']",5,34.27,Credit Card,San Francisco,Supermarket,TRUE,Teenager,Summer,BOGO (Buy One Get One)
1000000035,10/12/2022 11:57,Ann Kane,"['Onions', 'Dish Soap']",10,62.33,Credit Card,Miami,Warehouse Club,FALSE,Young Adult,Spring,None
1000000036,10/16/2020 9:05,Mr. John Long,"['Tomatoes', 'Mustard', 'Apple', 'Hair Gel']",4,19.11,Debit Card,Chicago,Convenience Store,TRUE,Middle-Aged,Winter,Discount on Selected Items
1000000037,5/31/2020 5:35,Annette Robinson,['Garden Hose'],4,25.76,Mobile Payment,Los Angeles,Warehouse Club,TRUE,Homemaker,Fall,BOGO (Buy One Get One)
