ID,Nama Pelanggan,Tanggal Pembelian,Jumlah Pembelian
T00000,Tia,1/30/2025,362.19
T00001,Dina,9/17/2024,905.26
T00002,Budi,1/13/2025,498.83
T00003,Fahmi,3/16/2025,711.64
T00004,Citra,5/18/2024,762.08
T00005,Dina,9/9/2024,443.51
T00006,Budi,6/1/2024,883.78
T00007,Hani,4/29/2025,370.56
T00008,Tia,3/20/2025,896.6
T00009,Andi,12/22/2024,63.8
T00010,Citra,10/14/2024,498.91
T00011,Ilham,3/22/2025,648.43
T00012,Ilham,5/6/2024,281.74
T00013,Budi,2/24/2025,397.18
T00014,Fahmi,5/21/2024,936.12
T00015,Budi,1/13/2025,880.39
T00016,Hani,12/24/2024,71.2
T00017,Hani,8/23/2024,63.92
T00018,Budi,5/29/2024,829.53
T00019,Gina,8/7/2024,629.33
T00020,Tia,5/27/2024,92.63
T00021,Eka,2/12/2025,460.65
T00022,Gina,6/29/2024,70.21
T00023,Tia,11/30/2024,316.98
T00024,Citra,4/30/2025,155.82
T00025,Ilham,10/25/2024,819.91
T00026,Tia,3/22/2025,440.8
T00027,Andi,5/29/2024,171.48
T00028,Dina,2/8/2025,181.34
T00029,Andi,9/17/2024,839.05
T00030,Gina,3/22/2025,590.23
T00031,Gina,1/14/2025,322.74
T00032,Citra,12/25/2024,875.97
T00033,Budi,5/19/2024,764.92
T00034,Eka,12/24/2024,78.69
T00035,Fahmi,4/5/2025,47.19
T00036,Ilham,2/26/2025,912.21
T00037,Ilham,8/8/2024,357.65
T00038,Hani,4/25/2025,89.19
T00039,Fahmi,2/25/2025,863.63
T00040,Dina,10/13/2024,658.93
T00041,Andi,4/11/2025,161.45
T00042,Citra,12/8/2024,627.69
T00043,Ilham,11/29/2024,65.47
T00044,Eka,3/6/2025,868.41
T00045,Gina,7/29/2024,672.32
T00046,Fahmi,5/22/2024,87.42
T00047,Gina,2/2/2025,98.67
T00048,Citra,3/25/2025,672.98
T00049,Andi,6/1/2024,782.81
T00050,Ilham,10/20/2024,497.97
T00051,Dina,8/10/2024,235.21
