ID,Nama Pelanggan,Tanggal Pembelian,Jumlah Pembelian
ID00001,"Balidin Dongoran, S.T.",2024-11-23,746333
ID00002,Darmana Mandala,2024-02-27,628831
ID00003,"Ciaobella Wastuti, M.Pd",2024-01-13,423420
ID00004,Lantar Anggraini,2025-01-14,665584
ID00005,Among Iswahyudi,2024-05-20,343580
ID00006,Daruna Mayasari,2024-05-05,756348
ID00007,Cut Putri Napitupulu,2024-04-24,411384
ID00008,"Sadina Palastri, S.Farm",2024-03-12,435756
ID00009,Ikin Rahmawati,2025-01-12,410099
ID00010,Yessi Ardianto,2024-02-22,466329
ID00011,"KH. Capa Anggraini, S.Psi",2024-12-12,581598
ID00012,Eva Pratama,2025-01-14,231476
ID00013,"Tgk. Baktiono Iswahyudi, S.Sos",2025-04-01,704668
ID00014,Gatot Situmorang,2024-10-06,191833
ID00015,Tgk. Yani Gunawan,2024-02-14,507938
ID00016,"Michelle Nasyiah, S.IP",2024-10-29,155824
ID00017,Cindy Puspasari,2024-08-04,207370
ID00018,Yance Utami,2024-01-17,592401
ID00019,dr. Ratih Nababan,2024-01-16,413277
ID00020,"Betania Gunawan, S.H.",2024-02-17,894293
ID00021,"T. Bahuwirya Pradipta, S.IP",2024-04-21,979389
ID00022,Indah Hasanah,2024-04-29,387789
ID00023,"Rafid Utama, S.E.",2024-09-15,890764
ID00024,Kamila Pranowo,2024-11-04,447503
ID00025,"Emas Zulaika, S.Pt",2024-01-14,171760
ID00026,Hj. Ella Nasyidah,2024-10-14,312483
ID00027,"Hesti Marpaung, M.M.",2024-04-11,925129
ID00028,Humaira Uyainah,2025-01-01,712615
ID00029,"Puti Prasetya, S.Psi",2024-11-28,141647
ID00030,"Cut Ghaliyati Firmansyah, S.Psi",2024-12-25,150800
ID00031,Hasna Haryanto,2024-10-06,22166
ID00032,Vino Purnawati,2024-08-02,85231
ID00033,"Iriana Prabowo, M.Kom.",2024-04-22,689885
ID00034,Syahrini Haryanti,2024-08-17,26470
ID00035,Eman Mandala,2024-10-28,160990
ID00036,Panca Purwanti,2024-05-22,766379
ID00037,T. Pangeran Padmasari,2025-02-18,937873
ID00038,Restu Wacana,2025-03-21,520343
ID00039,Gawati Mandala,2024-01-04,699886
ID00040,drg. Bakijan Hardiansyah,2025-01-23,467949
ID00041,"Puti Eva Utami, S.E.",2025-02-16,152371
ID00042,"Ir. Indra Riyanti, S.Pt",2024-03-22,98776
ID00043,Kezia Riyanti,2024-12-23,153885
ID00044,Paris Ramadan,2024-08-04,683440
ID00045,Dt. Maman Latupono,2024-06-23,855091
ID00046,"Timbul Nasyiah, S.T.",2024-05-22,446056
ID00047,"Ir. Ganep Kusumo, S.Pd",2024-03-20,911935
ID00048,Endah Hasanah,2024-04-20,488180
ID00049,Xanana Saptono,2025-01-25,946989
ID00050,KH. Cemani Mayasari,2024-06-21,837251
ID00051,Tedi Utami,2024-02-22,739169
ID00052,Zaenab Uyainah,2024-02-17,643790
