id_transaksi,nama_pelanggan,tanggal_pembelian,jumlah_pembelian
ECM00000,Rhonda Macias,2024-12-04,476033
ECM00001,Tracy Hanson,2024-12-12,989934
ECM00002,Mary Clark,2025-04-14,275982
ECM00003,Nicholas Marsh,2024-06-11,804855
ECM00004,Daniel Willis,2024-07-07,529813
ECM00005,Henry Wilson,2024-10-07,27111
ECM00006,Jacob Ramos,2024-12-18,598634
ECM00007,Theresa Caldwell,2025-03-09,764249
ECM00008,Jason Wood,2024-11-11,200000
ECM00009,Patrick Davis,2024-07-09,86525
ECM00010,Daniel Oliver,2024-10-07,307450
ECM00011,Ronald Harper,2024-12-13,474001
ECM00012,Brandon Thornton,2024-06-13,404597
ECM00013,John Mccormick,2024-07-29,926463
ECM00014,Lindsey Waters,2024-12-16,610175
ECM00015,Holly Jackson,2025-04-02,882499
ECM00016,Erica Smith,2025-04-02,789275
ECM00017,Sarah Price,2024-05-25,768942
ECM00018,Cynthia Sanders,2025-01-26,763291
ECM00019,Karen Tran,2025-01-05,289818
ECM00020,Tammy Wilson,2024-12-10,408660
ECM00021,Frederick Sparks,2025-03-09,845859
ECM00022,Sarah Spence,2024-10-10,585022
ECM00023,Kevin Mcfarland,2025-02-14,723155
ECM00024,Sophia Hartman,2024-07-01,958478
ECM00025,Brian Rosario,2024-07-13,599621
ECM00026,Edward Mccoy,2024-12-07,226861
ECM00027,Tommy White,2024-12-17,918145
ECM00028,Eric Clark MD,2024-12-18,196880
ECM00029,Sarah Bennett,2024-09-09,275423
ECM00030,David Brown,2025-03-18,578731
ECM00031,Timothy Bruce,2024-06-28,139038
ECM00032,Beverly Fitzgerald,2025-02-25,934285
ECM00033,Jerome Hickman,2025-02-22,652508
ECM00034,Brian Klein Jr.,2024-12-12,518346
ECM00035,Tristan Smith,2024-11-24,149712
ECM00036,Mr. Jesse Harrington,2025-03-02,792419
ECM00037,Todd Smith,2024-08-10,985552
ECM00038,Danielle Joseph,2025-01-12,912345
ECM00039,Joseph Smith,2024-04-27,163663
ECM00040,Dale Cox,2025-04-25,459620
ECM00041,Erin Cobb,2025-04-06,48344
ECM00042,Jessica Swanson,2025-04-11,550991
ECM00043,James Taylor,2024-10-22,459898
ECM00044,Heather Dillon,2024-09-10,290084
ECM00045,Steven Phillips,2024-05-07,295217
ECM00046,Raymond Stone,2024-12-28,164439
ECM00047,John Diaz,2024-08-16,976529
ECM00048,Catherine Rios,2024-08-02,279511
ECM00049,Christine Watkins,2024-08-28,131265
ECM00050,Andrew Taylor,2024-05-01,360768
ECM00051,Joshua Ramirez,2024-07-04,455699
ECM00052,Rhonda Lambert,2024-05-21,722735
ECM00053,Jeremiah Lewis,2025-04-11,609076
ECM00054,Bradley Hudson,2024-07-23,662777
ECM00055,Daniel Hunt,2024-08-20,761195
ECM00056,Seth Barnes,2024-11-23,449088
ECM00057,Brian Todd,2024-10-12,107842
ECM00058,Aaron Fisher,2024-06-06,150354
ECM00059,John Walker,2024-10-14,106346
ECM00060,Sheri Gould,2025-04-14,846964
ECM00061,Mr. Sean Carlson MD,2025-04-16,883786
ECM00062,Vincent Reyes,2024-11-07,184725
ECM00063,Elizabeth Mason,2024-08-23,112806
ECM00064,Crystal Frazier,2025-04-06,807441
ECM00065,Douglas Flores,2024-06-27,524651
ECM00066,Cheryl Smith,2025-01-10,874974
ECM00067,Lisa Washington,2025-04-19,247329
ECM00068,Lauren Small,2024-09-12,60586
ECM00069,Jennifer Dorsey,2025-02-27,782690
ECM00070,Wanda Johnson,2024-07-23,519696
ECM00071,Christopher Mitchell,2025-03-03,444816
ECM00072,Monica Johnson,2024-06-25,451938
ECM00073,Roy Barker,2024-06-19,311744
ECM00074,Leah Brown,2025-01-19,607206
ECM00075,Ian Todd,2024-09-25,297714
ECM00076,James Henry,2025-02-26,727684
ECM00077,Christopher Baldwin,2025-03-09,592473
ECM00078,Kelly Simmons,2024-07-15,193864
ECM00079,David Morgan,2024-05-27,567599
ECM00080,Sheena Jones,2024-09-18,926311
ECM00081,Sean Randolph,2025-02-22,560577
ECM00082,Gary Anderson,2025-01-17,862892
ECM00083,James Potts,2024-07-24,143005
ECM00084,Peter Carter,2024-07-24,769192
ECM00085,Shaun Miller,2024-05-21,649794
ECM00086,Johnny Davis,2024-12-18,17541
ECM00087,Elizabeth Miller,2025-02-20,518314
ECM00088,Lisa Moses,2025-04-12,519103
ECM00089,Dawn Maldonado,2024-08-08,244429
ECM00090,John Rios,2024-11-27,307744
ECM00091,Jeremy Davis,2024-10-21,848157
ECM00092,Joseph Nguyen,2025-02-14,865256
ECM00093,Jennifer Vazquez,2025-01-11,729786
ECM00094,Robert Contreras,2025-01-11,464004
ECM00095,Sean Murphy,2024-08-05,336125
ECM00096,Ricky Stokes,2024-09-15,858470
ECM00097,Brian Alvarez,2024-07-05,311875
ECM00098,Benjamin Cain Jr.,2025-02-23,27314
ECM00099,Rachel Frye,2024-10-24,952987
ECM00100,Sarah Larson,2025-03-14,31987
ECM00101,Mary Gardner,2024-08-14,413891
ECM00102,Beth Walters,2025-03-25,89583
ECM00103,Miguel Hoffman,2025-02-01,331906
ECM00104,Amanda Chambers,2024-10-13,190316
ECM00105,Mr. Michael Parsons III,2024-11-26,33962
ECM00106,Rachel Ashley,2024-10-06,317462
ECM00107,Pamela Palmer,2024-10-12,336104
ECM00108,Caitlyn Lee,2025-02-02,282427
ECM00109,Brian Solomon,2024-10-05,443430
ECM00110,Mrs. Michelle Anderson,2025-01-25,612151
ECM00111,Emily Villanueva,2024-07-23,352641
ECM00112,Carlos Cooper,2025-01-16,781655
ECM00113,Rose Bates,2024-12-10,946403
ECM00114,Ian Lang,2024-09-11,479121
ECM00115,Cheryl Robles,2024-09-10,956435
ECM00116,Anthony Parker,2024-06-27,188395
ECM00117,Matthew Baker,2024-06-15,752864
ECM00118,Linda Reynolds,2024-05-15,970323
ECM00119,Steven King,2024-11-15,889373
ECM00120,Madison Arnold,2025-03-05,529074
ECM00121,James Ballard,2024-12-19,270351
ECM00122,Donald Harrison,2024-12-26,16410
ECM00123,Eric Martinez,2025-01-17,892647
ECM00124,John Welch,2024-07-02,42057
ECM00125,Donald Bennett,2025-02-23,257782
ECM00126,Brenda Rivera,2024-12-08,183941
ECM00127,Sandra Stafford,2025-01-08,455512
ECM00128,Briana Mack,2024-09-08,456176
ECM00129,Sarah Huff,2025-02-03,609981
ECM00130,Kyle Andrade,2024-09-19,162511
ECM00131,Emily Rogers,2024-10-31,108926
ECM00132,James Curtis,2024-12-10,110589
ECM00133,Phillip Guerrero,2024-10-09,159552
ECM00134,Diane Jackson MD,2025-02-22,579494
ECM00135,Pam Steele,2025-01-25,199594
ECM00136,Margaret Li,2024-10-18,724841
ECM00137,Dawn Rodriguez,2024-12-04,261104
ECM00138,Kayla Wilson,2025-02-08,294636
ECM00139,Cathy Hernandez,2024-09-10,104589
ECM00140,George Fitzgerald,2024-10-18,650158
ECM00141,Matthew Olson,2025-03-27,754752
ECM00142,Kevin Cabrera,2025-03-20,708411
ECM00143,Richard Hahn,2024-10-04,163816
ECM00144,Michael Gutierrez,2025-04-18,671166
ECM00145,Leah Tyler,2024-07-06,735018
ECM00146,Terry Flores,2025-02-25,996258
ECM00147,Meredith White,2025-03-03,577660
ECM00148,Alexis Brock,2025-02-06,994832
ECM00149,William Schultz,2024-08-07,503719
ECM00150,Eric Harris,2024-09-07,607675
ECM00151,Dennis Johnson,2024-05-22,45397
ECM00152,Rodney Green,2024-11-28,931460
ECM00153,Nicole Mills,2024-07-25,82298
ECM00154,Sarah Palmer,2024-07-27,974717
ECM00155,Catherine Davis,2024-10-12,683443
ECM00156,Dawn Hayes,2025-02-22,912653
ECM00157,Donna Jones,2025-02-11,114955
ECM00158,William Pierce,2025-01-03,773259
ECM00159,Bruce Heath,2024-08-19,121599
ECM00160,Theresa Brown,2024-08-11,258052
ECM00161,Jennifer Schultz,2024-12-31,752700
ECM00162,Sarah Martin,2024-06-11,852909
ECM00163,Regina Riddle,2024-08-25,33517
ECM00164,Jill Hudson,2025-01-20,878377
ECM00165,Tracy Freeman,2025-03-06,14643
ECM00166,Lauren Rubio,2024-07-04,967924
ECM00167,Barbara Spencer,2024-12-16,615422
ECM00168,Vanessa Lamb,2025-03-04,454200
ECM00169,Andrea Kelly,2024-11-01,697204
ECM00170,Patrick Villa,2025-02-15,480061
ECM00171,Shane Meyer,2025-02-19,281121
ECM00172,John Buckley,2025-02-05,259058
ECM00173,Jason Snyder,2024-05-01,628952
ECM00174,Felicia Erickson,2024-11-16,836354
ECM00175,Amy Wells,2024-08-23,679171
ECM00176,Cameron Frederick,2025-04-01,618835
ECM00177,Katherine Maldonado,2025-04-16,848721
ECM00178,Jessica Price,2025-04-17,631045
ECM00179,Patricia Johnson,2024-11-08,693077
ECM00180,Barry Zimmerman,2025-04-01,495608
ECM00181,Justin Jenkins,2025-02-13,655230
ECM00182,Shelby Hartman,2025-03-29,917055
ECM00183,Tracy Harrison,2025-03-04,280467
ECM00184,Michael Lopez,2024-07-29,826043
ECM00185,William Gonzalez,2025-04-17,714096
ECM00186,Lisa Walters,2025-02-22,276359
ECM00187,Keith Fox,2024-07-09,208828
ECM00188,Laura Bullock,2024-09-04,458472
ECM00189,Mark Tucker,2025-01-29,592300
ECM00190,Julia Brown,2025-04-06,520434
ECM00191,Jenna Webb,2024-06-13,968848
ECM00192,Karen Adkins,2024-08-27,629467
ECM00193,Michael Barnes,2024-08-13,96725
ECM00194,Karen Vasquez,2025-03-16,776755
ECM00195,Rebecca Edwards,2025-02-10,435481
ECM00196,Mark Hicks MD,2024-06-22,788498
ECM00197,Patricia Taylor,2025-03-15,338713
ECM00198,Mikayla Eaton,2024-08-08,187884
ECM00199,Marie Franklin,2025-02-17,545202
ECM00200,Brittney Newton,2024-06-02,105745
ECM00201,James Garrett,2025-01-30,471706
ECM00202,Cassandra Wright DDS,2024-10-20,691959
ECM00203,Melissa Baker,2024-08-15,338295
ECM00204,Richard Henderson,2024-12-02,186992
ECM00205,Edward Walsh,2024-07-12,656065
ECM00206,Donna Anderson,2024-09-01,456551
ECM00207,Alan Harris,2024-06-05,190418
ECM00208,Valerie Mckinney,2024-10-25,763949
ECM00209,Pamela Martinez,2025-04-03,413612
ECM00210,Charlotte Mata,2024-09-24,20293
ECM00211,Holly Klein,2024-08-30,82712
ECM00212,Leslie Lutz,2024-06-05,862633
ECM00213,Kaitlin Jones,2024-08-06,599174
ECM00214,Rebecca Rice,2025-03-09,76182
ECM00215,Jenna Rodriguez,2024-04-28,317650
ECM00216,Michael Shelton,2025-04-03,845252
ECM00217,Bradley Hansen,2025-03-24,24363
ECM00218,Kimberly Williams,2024-10-13,59701
ECM00219,Annette Suarez,2024-10-14,177777
ECM00220,Daniel Roberts,2024-10-10,90256
ECM00221,Travis Mills,2024-12-26,565661
ECM00222,Amanda Williams,2024-11-01,260436
ECM00223,Christopher Diaz,2025-04-05,534745
ECM00224,Robert Hernandez,2024-09-22,716728
ECM00225,Erica Wells,2025-01-05,20307
ECM00226,Jamie Love,2025-02-12,843111
ECM00227,Pamela Myers,2024-06-11,975449
ECM00228,Jason Rocha,2024-07-15,741152
ECM00229,Jocelyn Griffith,2024-06-23,482036
ECM00230,Steven Johnson,2025-04-05,260117
ECM00231,Amanda Bass,2024-09-12,337960
ECM00232,William Robinson,2025-02-09,645566
ECM00233,Brian Colon,2024-07-04,714959
ECM00234,Grace Wade,2024-11-30,535999
ECM00235,Kyle Bowman,2025-02-04,426090
ECM00236,Dylan Baker,2025-02-25,200068
ECM00237,Crystal Pittman,2024-08-10,877884
ECM00238,Katherine Walsh,2024-06-22,816799
ECM00239,Donna Aguilar,2024-07-19,254131
ECM00240,Timothy Reid,2025-01-11,345021
ECM00241,Kristy Holmes,2024-10-24,864632
ECM00242,Michelle Schroeder,2025-02-12,384530
ECM00243,Jeffery Proctor,2024-11-12,63793
ECM00244,Amber Snyder,2025-03-15,415779
ECM00245,Kara Jones,2025-01-24,909296
ECM00246,Teresa Frank,2024-11-21,796971
ECM00247,Courtney Kelly,2025-04-24,750149
ECM00248,Nichole Stephens,2024-06-18,555950
ECM00249,Bethany Brooks,2024-09-19,892731
ECM00250,Patricia Wilson,2025-02-07,699410
ECM00251,Grace Flores,2024-11-01,252872
ECM00252,Cindy Riley,2024-05-02,898948
ECM00253,Laura Hernandez,2025-03-22,696089
ECM00254,Anna Gallegos,2025-03-04,185899
ECM00255,Amanda Nelson,2024-10-05,873223
ECM00256,Robert Barrera,2024-07-25,591570
ECM00257,Vernon Villa,2024-12-24,187828
ECM00258,Amanda Powell,2025-02-26,629263
ECM00259,Andrew Reynolds,2024-09-28,19945
ECM00260,Donald Brown,2024-09-15,441950
ECM00261,Linda Hall,2024-12-14,65195
ECM00262,Carolyn Fowler,2024-07-25,215201
ECM00263,Jack Oconnor,2025-01-08,348577
ECM00264,Bernard Figueroa,2024-11-13,685016
ECM00265,Nicole White,2024-10-30,341754
ECM00266,Erika Anderson,2025-04-12,427251
ECM00267,Kyle Norris,2024-07-19,965029
ECM00268,Megan Davis,2024-12-13,46563
ECM00269,Melvin Evans,2024-07-28,83996
ECM00270,Martin Owens,2025-02-24,962830
ECM00271,Kevin Hayes,2025-03-09,511277
ECM00272,Vincent Franco,2024-08-09,640129
ECM00273,Bruce Johnson,2024-07-27,967915
ECM00274,Nicole Joseph,2024-07-16,32066
ECM00275,Amanda Schaefer,2024-06-01,554450
ECM00276,Michael Owens,2024-06-12,755642
ECM00277,Rose Jones,2024-11-19,374258
ECM00278,Melanie Frederick,2024-09-21,269370
ECM00279,Tony Nielsen,2025-04-02,567537
ECM00280,Jacob Baker,2024-05-03,117696
ECM00281,Brandy Edwards,2024-06-08,668140
ECM00282,William Beck,2024-07-10,289767
ECM00283,Diana Buchanan,2024-05-06,430870
ECM00284,Dana Allen,2024-05-28,37778
ECM00285,Ronald Hoffman,2025-03-05,218269
ECM00286,Mr. Robert Neal,2025-04-02,813327
ECM00287,Caleb Moore,2024-12-17,918928
ECM00288,Robert Ross,2025-04-02,200325
ECM00289,Eric Robinson,2024-09-10,402978
ECM00290,Heather Carrillo,2025-03-19,335804
ECM00291,Sharon Sharp,2024-12-01,21487
ECM00292,Theresa Smith,2025-03-31,271412
ECM00293,Jacob Taylor,2024-12-13,896243
ECM00294,Justin Castro,2024-05-08,400524
ECM00295,Erin Tate,2024-09-16,903240
ECM00296,Alexandra Thomas,2024-07-14,873139
ECM00297,Andrew Park,2025-02-12,879706
ECM00298,Victor Lopez,2025-02-03,509976
ECM00299,Nicole Mcclain,2024-04-27,434018
ECM00300,Caitlin Hamilton,2025-01-24,178676
ECM00301,Jocelyn Jarvis,2024-10-12,490875
ECM00302,Rebecca Page,2024-12-12,256040
ECM00303,Robert Moore,2024-10-14,26634
ECM00304,Travis Washington,2025-03-18,18969
ECM00305,Stephanie Sanders,2024-05-24,362629
ECM00306,April Mendoza,2024-05-28,511527
ECM00307,Barry Graham,2025-03-20,563522
ECM00308,Ariel Wood,2025-02-06,540010
ECM00309,Andrew Spears,2024-10-01,708621
ECM00310,Savannah Allen,2024-07-07,655409
ECM00311,Ronald Clark,2025-02-06,472900
ECM00312,Catherine Mora,2024-08-20,378358
ECM00313,Troy Santiago,2024-07-12,850797
ECM00314,Justin Williams,2024-05-09,171977
ECM00315,Shawn York,2024-08-27,995519
ECM00316,Jordan Jackson,2024-06-09,808718
ECM00317,Steven Moore,2024-08-06,19839
ECM00318,Elijah Walker,2024-12-22,362270
ECM00319,Richard Ingram,2024-08-30,926440
ECM00320,William Taylor,2024-12-08,341562
ECM00321,Kimberly Dixon,2025-03-29,912622
ECM00322,Emily Thomas,2025-03-18,377185
ECM00323,Kaitlin Salazar,2024-10-07,285478
ECM00324,Nicholas Johnson,2024-11-16,448851
ECM00325,Nancy Guzman,2024-09-29,666284
ECM00326,Heather Hood,2025-03-05,595723
ECM00327,Joanna Davidson,2024-05-05,52236
ECM00328,Anna Holder,2024-12-23,832330
ECM00329,Elizabeth Martin,2025-04-16,577287
ECM00330,Donna Ford,2024-07-01,500289
ECM00331,Melissa Mack,2024-07-12,12295
ECM00332,Jason Rodgers,2024-12-21,836559
ECM00333,Kerry Bailey,2024-09-12,709577
ECM00334,Linda Gardner,2024-05-29,627065
ECM00335,Jesse Nichols,2024-08-02,922047
ECM00336,Robert Ross,2025-02-13,958391
ECM00337,Jessica Cruz,2024-10-10,889598
ECM00338,Lori Castillo,2024-07-12,287190
ECM00339,Sean Young III,2025-02-27,16289
ECM00340,Lauren Zamora,2024-05-14,216539
ECM00341,Joseph Abbott,2025-03-11,39154
ECM00342,Shawn Cook,2025-01-11,971727
ECM00343,Caitlin Harvey,2025-01-12,93574
ECM00344,Edward Ball,2024-10-16,306109
ECM00345,Martin Potter,2024-10-25,691271
ECM00346,Christopher Martin,2024-07-22,334455
ECM00347,Dr. Briana Trevino,2024-06-02,740937
